,大学名,学部,大学詳細ページ,偏差値,倍率情報,合格体験記,入試日程
10,横浜市立大学,国際商/(B),http://www.toshin-daigaku.com/detail_lecture.php?id=076,68,https://www.toshin.com/examinee/detail.php?id=77,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=神奈川&univ_name=横浜市立大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
11,一橋大学,経済,http://www.toshin-daigaku.com/detail_lecture.php?id=026,67,https://www.toshin.com/examinee/detail.php?id=26,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%B8%80%E6%A9%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=一橋大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
12,一橋大学,商,http://www.toshin-daigaku.com/detail_lecture.php?id=026,67,https://www.toshin.com/examinee/detail.php?id=26,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%B8%80%E6%A9%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=一橋大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
13,一橋大学,ソーシャル,http://www.toshin-daigaku.com/detail_lecture.php?id=026,67,https://www.toshin.com/examinee/detail.php?id=26,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%B8%80%E6%A9%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=一橋大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
14,一橋大学,法,http://www.toshin-daigaku.com/detail_lecture.php?id=026,67,https://www.toshin.com/examinee/detail.php?id=26,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E4%B8%80%E6%A9%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=一橋大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
15,筑波大学,人間/心理,http://www.toshin-daigaku.com/detail_lecture.php?id=012,67,https://www.toshin.com/examinee/detail.php?id=12,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=茨城&univ_name=筑波大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
16,東京外国語大学,言語文化/言語／英語、イタリア語、フランス語,http://www.toshin-daigaku.com/detail_lecture.php?id=021,67,https://www.toshin.com/examinee/detail.php?id=21,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%9D%B1%E4%BA%AC%E5%A4%96%E5%9B%BD%E8%AA%9E%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京外国語大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
17,東京外国語大学,国際社会/国際／アフリカ、イベリア・ラテン、オセアニア、西南ヨーロッパ、東アジア、東南アジア1、北西・北アメ,http://www.toshin-daigaku.com/detail_lecture.php?id=021,67,https://www.toshin.com/examinee/detail.php?id=21,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%9D%B1%E4%BA%AC%E5%A4%96%E5%9B%BD%E8%AA%9E%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京外国語大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
18,滋賀大学,経済/総合経済(A数外),http://www.toshin-daigaku.com/detail_lecture.php?id=041,67,https://www.toshin.com/examinee/detail.php?id=41,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%BB%8B%E8%B3%80%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=滋賀&univ_name=滋賀大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
19,東京都立大学,法,http://www.toshin-daigaku.com/detail_lecture.php?id=075,67,https://www.toshin.com/examinee/detail.php?id=76,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%BB%8B%E8%B3%80%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=東京&univ_name=東京都立大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
20,横浜市立大学,国際教養/(B),http://www.toshin-daigaku.com/detail_lecture.php?id=076,67,https://www.toshin.com/examinee/detail.php?id=77,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=神奈川&univ_name=横浜市立大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
21,大阪大学,経済,http://www.toshin-daigaku.com/detail_lecture.php?id=044,66,https://www.toshin.com/examinee/detail.php?id=44,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E5%A4%A7%E9%98%AA%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=大阪&univ_name=大阪大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
22,大阪大学,人間科,http://www.toshin-daigaku.com/detail_lecture.php?id=044,66,https://www.toshin.com/examinee/detail.php?id=44,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E5%A4%A7%E9%98%AA%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=大阪&univ_name=大阪大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
23,大阪大学,文,http://www.toshin-daigaku.com/detail_lecture.php?id=044,66,https://www.toshin.com/examinee/detail.php?id=44,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E5%A4%A7%E9%98%AA%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=大阪&univ_name=大阪大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
24,大阪大学,法,http://www.toshin-daigaku.com/detail_lecture.php?id=044,66,https://www.toshin.com/examinee/detail.php?id=44,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E5%A4%A7%E9%98%AA%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=大阪&univ_name=大阪大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
25,筑波大学,社会・国際/社会,http://www.toshin-daigaku.com/detail_lecture.php?id=012,66,https://www.toshin.com/examinee/detail.php?id=12,https://www.toshin.com/taikenki/?univ_other%5B%5D=%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6&keyword=#result,https://www.toshin.com/nyushi_info/schedule/?univ_type=国公立&univ_pref_area=%E5%9C%B0%E6%96%B9%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84&univ_pref[]=茨城&univ_name=筑波大学&department=&department_class=&univ_group=0&test_date_start=&test_date_end=&application_deadline_start=&application_deadline_end=&passing_announcement_start=&passing_announcement_end=&procedure_deadline_start=&procedure_deadline_end=
